"GC"|No |"76046367"|"140888098"
"GW"|No |"76046367"|"140888099"
"GC-GM"|Yes|"76046367"|"140888100"
"GC-GM"|Yes|"76046526"|"140888425"
"GP-GM"|No |"76046526"|"140888426"
"GM"|No |"76046526"|"140888427"
"OH"|No |"76046410"|"140888186"
"ML"|Yes|"76046410"|"140888185"
"GP-GM"|Yes|"76046473"|"140888310"
"GC-GM"|No |"76046473"|"140888311"
"GW"|No |"76046473"|"140888312"
"GC-GM"|Yes|"76046642"|"140888671"
"GC"|No |"76046642"|"140888672"
"GP-GM"|No |"76046642"|"140888673"
"GC-GM"|Yes|"76046528"|"140888431"
"GP-GM"|No |"76046528"|"140888432"
"GM"|No |"76046528"|"140888433"
"GC-GM"|Yes|"76046487"|"140888341"
"GM"|No |"76046487"|"140888342"
"GW"|No |"76046487"|"140888343"
"PT"|Yes|"76046388"|"140888139"
"GC"|Yes|"76046568"|"140888512"
"GC-GM"|No |"76046568"|"140888513"
"CH"|Yes|"76046539"|"140888455"
"GP-GC"|No |"76046539"|"140888456"
"PT"|Yes|"76046631"|"140888651"
"GC-GM"|Yes|"76046620"|"140888624"
"GC"|No |"76046620"|"140888625"
"GP-GM"|No |"76046620"|"140888626"
"GM"|Yes|"76046304"|"140887968"
"SC-SM"|No |"76046304"|"140887969"
"PT"|Yes|"76046377"|"140888120"
"GM"|Yes|"76046548"|"140888473"
"SC-SM"|No |"76046548"|"140888474"
"GC"|No |"76046399"|"140888163"
"GW"|No |"76046399"|"140888164"
"GC-GM"|Yes|"76046399"|"140888165"
"PT"|Yes|"76046515"|"140888403"
"GC-GM"|Yes|"76046589"|"140888560"
"SM"|No |"76046589"|"140888561"
"GP-GM"|No |"76046589"|"140888562"
"GP-GC"|No |"76046451"|"140888265"
"GC"|Yes|"76046451"|"140888266"
"GM"|Yes|"76046404"|"140888175"
"GP-GM"|Yes|"76046378"|"140888121"
"GC-GM"|No |"76046378"|"140888122"
"GW"|No |"76046378"|"140888123"
