"2"|"25473496"|"5756316"
"3"|"25473505"|"5756314"
"1"|"25473505"|"5756315"
"2"|"25473508"|"5756312"
"3"|"25473508"|"5756313"
"2"|"25473513"|"5756280"
"3"|"25473513"|"5756281"
"2"|"25473520"|"5756282"
"3"|"25473520"|"5756283"
"2"|"25473522"|"5756284"
"3"|"25473522"|"5756285"
"2"|"25473526"|"5756286"
"3"|"25473526"|"5756287"
"2"|"25473531"|"5756288"
"3"|"25473531"|"5756289"
"2"|"25473539"|"5756290"
"3"|"25473539"|"5756291"
"2"|"25473542"|"5756292"
"3"|"25473542"|"5756293"
"2"|"25473548"|"5756294"
"3"|"25473548"|"5756295"
"2"|"25473553"|"5756296"
"3"|"25473553"|"5756297"
"2"|"25473556"|"5756298"
"3"|"25473556"|"5756299"
"2"|"25473559"|"5756300"
"3"|"25473559"|"5756301"
"2"|"25473564"|"5756302"
"3"|"25473564"|"5756303"
"2"|"25473571"|"5756304"
"3"|"25473571"|"5756305"
"2"|"25473572"|"5756306"
"3"|"25473572"|"5756307"
"2"|"25473576"|"5756308"
"3"|"25473576"|"5756309"
"2"|"25473580"|"5756310"
"3"|"25473580"|"5756311"
