"Xeric"|"25473495"|"10950564"
"Peraquic"|"25473496"|"10950563"
"Xeric"|"25473498"|"10950568"
"Xeric"|"25473499"|"10950567"
"Xeric"|"25473502"|"10950570"
"Xeric"|"25473501"|"10950569"
"Aquic"|"25473505"|"10950629"
"Aquic"|"25473508"|"10950627"
"Xeric"|"25473509"|"10950566"
"Xeric"|"25473506"|"10950565"
"Aquic"|"25473510"|"10950628"
"Xeric"|"25473511"|"10950572"
"Aquic"|"25473514"|"10950574"
"Aquic"|"25473513"|"10950573"
"Xeric"|"25473512"|"10950571"
"Aquic"|"25473520"|"10950577"
"Aquic"|"25473517"|"10950578"
"Xeric"|"25473516"|"10950576"
"Xeric"|"25473519"|"10950575"
"Xeric"|"25473521"|"10950580"
"Xeric"|"25473524"|"10950579"
"Aquic"|"25473525"|"10950582"
"Aquic"|"25473522"|"10950581"
"Xeric"|"25473529"|"10950583"
"Xeric"|"25473527"|"10950584"
"Aquic"|"25473530"|"10950586"
"Aquic"|"25473526"|"10950585"
"Xeric"|"25473533"|"10950587"
"Aquic"|"25473531"|"10950589"
"Xeric"|"25473535"|"10950588"
"Aquic"|"25473532"|"10950590"
"Xeric"|"25473540"|"10950592"
"Aquic"|"25473537"|"10950594"
"Aquic"|"25473539"|"10950593"
"Xeric"|"25473536"|"10950591"
"Xeric"|"25473543"|"10950595"
"Aquic"|"25473541"|"10950598"
"Xeric"|"25473545"|"10950596"
"Aquic"|"25473542"|"10950597"
"Aquic"|"25473547"|"10950602"
"Xeric"|"25473550"|"10950600"
"Xeric"|"25473546"|"10950599"
"Aquic"|"25473548"|"10950601"
"Aquic"|"25473553"|"10950605"
"Xeric"|"25473552"|"10950604"
"Xeric"|"25473551"|"10950603"
"Xeric"|"25473555"|"10950607"
"Aquic"|"25473556"|"10950608"
"Xeric"|"25473557"|"10950606"
"Aquic"|"25473559"|"10950611"
"Xeric"|"25473563"|"10950609"
"Aquic"|"25473562"|"10950612"
"Xeric"|"25473561"|"10950610"
"Xeric"|"25473566"|"10950613"
"Aquic"|"25473564"|"10950614"
"Xeric"|"25473565"|"10950630"
"Xeric"|"25473570"|"10950615"
"Aquic"|"25473571"|"10950617"
"Xeric"|"25473568"|"10950616"
"Aquic"|"25473572"|"10950620"
"Xeric"|"25473574"|"10950618"
"Xeric"|"25473575"|"10950619"
"Xeric"|"25473579"|"10950622"
"Aquic"|"25473576"|"10950623"
"Xeric"|"25473577"|"10950621"
"Xeric"|"25473583"|"10950625"
"Aquic"|"25473580"|"10950626"
"Xeric"|"25473581"|"10950624"
