|"577884"|"3058031"|"34720330"
|"577885"|"3058031"|"34720352"
|"577886"|"3058031"|"34720374"
|"577887"|"3058031"|"34720396"
|"577884"|"3064830"|"34720331"
|"577885"|"3064830"|"34720353"
|"577886"|"3064830"|"34720375"
|"577887"|"3064830"|"34720397"
|"577884"|"3064831"|"34720332"
|"577885"|"3064831"|"34720354"
|"577886"|"3064831"|"34720376"
|"577887"|"3064831"|"34720398"
|"577884"|"3064834"|"34720333"
|"577885"|"3064834"|"34720355"
|"577886"|"3064834"|"34720377"
|"577887"|"3064834"|"34720399"
|"577884"|"3064836"|"34720334"
|"577885"|"3064836"|"34720356"
|"577886"|"3064836"|"34720378"
|"577887"|"3064836"|"34720400"
|"577884"|"3064837"|"34720335"
|"577885"|"3064837"|"34720357"
|"577886"|"3064837"|"34720379"
|"577887"|"3064837"|"34720401"
|"577884"|"3064838"|"34720336"
|"577885"|"3064838"|"34720358"
|"577886"|"3064838"|"34720380"
|"577887"|"3064838"|"34720402"
|"577884"|"3064839"|"34720337"
|"577885"|"3064839"|"34720359"
|"577886"|"3064839"|"34720381"
|"577887"|"3064839"|"34720403"
|"577884"|"3064840"|"34720338"
|"577885"|"3064840"|"34720360"
|"577886"|"3064840"|"34720382"
|"577887"|"3064840"|"34720404"
|"577884"|"3064841"|"34720339"
|"577885"|"3064841"|"34720361"
|"577886"|"3064841"|"34720383"
|"577887"|"3064841"|"34720405"
|"577884"|"3064842"|"34720340"
|"577885"|"3064842"|"34720362"
|"577886"|"3064842"|"34720384"
|"577887"|"3064842"|"34720406"
|"577884"|"3064844"|"34720341"
|"577885"|"3064844"|"34720363"
|"577886"|"3064844"|"34720385"
|"577887"|"3064844"|"34720407"
|"577884"|"3064845"|"34720342"
|"577885"|"3064845"|"34720364"
|"577886"|"3064845"|"34720386"
|"577887"|"3064845"|"34720408"
|"577884"|"3064846"|"34720343"
|"577885"|"3064846"|"34720365"
|"577886"|"3064846"|"34720387"
|"577887"|"3064846"|"34720409"
|"577884"|"3064847"|"34720344"
|"577885"|"3064847"|"34720366"
|"577886"|"3064847"|"34720388"
|"577887"|"3064847"|"34720410"
|"577884"|"3064848"|"34720345"
|"577885"|"3064848"|"34720367"
|"577886"|"3064848"|"34720389"
|"577887"|"3064848"|"34720411"
|"577884"|"3064849"|"34720346"
|"577885"|"3064849"|"34720368"
|"577886"|"3064849"|"34720390"
|"577887"|"3064849"|"34720412"
|"577884"|"3064850"|"34720347"
|"577885"|"3064850"|"34720369"
|"577886"|"3064850"|"34720391"
|"577887"|"3064850"|"34720413"
|"577884"|"3064851"|"34720348"
|"577885"|"3064851"|"34720370"
|"577886"|"3064851"|"34720392"
|"577887"|"3064851"|"34720414"
|"577884"|"3064853"|"34720349"
|"577885"|"3064853"|"34720371"
|"577886"|"3064853"|"34720393"
|"577887"|"3064853"|"34720415"
|"577884"|"3064854"|"34720350"
|"577885"|"3064854"|"34720372"
|"577886"|"3064854"|"34720394"
|"577887"|"3064854"|"34720416"
|"577884"|"3064856"|"34720351"
|"577885"|"3064856"|"34720373"
|"577886"|"3064856"|"34720395"
|"577887"|"3064856"|"34720417"
