||"Tread"||"40728607"|"16072444"
||"Tread"||"40728637"|"16072476"
||"Tread"||"40728585"|"16072423"
||"Tread"||"40728559"|"16072401"
||"Tread"||"40728567"|"16072408"
||"Tread"||"40728593"|"16072430"
|"Nose Slope"|||"40728611"|"16072448"
|"Side Slope"|||"40728611"|"16072449"
|"Crest"|||"40728611"|"16072450"
|"Side Slope"|||"40728541"|"16072386"
|"Crest"|||"40728541"|"16072385"
|"Nose Slope"|||"40728633"|"16072470"
|"Side Slope"|||"40728633"|"16072472"
|"Crest"|||"40728633"|"16072471"
|"Side Slope"|||"40728563"|"16072404"
|"Crest"|||"40728563"|"16072403"
|"Side Slope"|||"40728615"|"16072453"
|"Crest"|||"40728615"|"16072452"
|"Nose Slope"|||"40728537"|"16072379"
|"Side Slope"|||"40728537"|"16072380"
|"Crest"|||"40728537"|"16072381"
||"Tread"||"40728519"|"16072363"
|"Nose Slope"|||"40728641"|"16072480"
|"Side Slope"|||"40728641"|"16072481"
|"Crest"|||"40728641"|"16072482"
|"Nose Slope"|||"40728589"|"16072426"
|"Side Slope"|||"40728589"|"16072427"
|"Crest"|||"40728589"|"16072428"
|"Side Slope"|||"40728515"|"16072366"
|"Crest"|||"40728515"|"16072365"
