"A-7"|Yes|"76046517"|"124220277"
"A-1"|No |"76046517"|"124220278"
"A-6"|Yes|"76046385"|"124220034"
"A-7"|No |"76046385"|"124220035"
"A-4"|No |"76046385"|"124220036"
"A-7"|Yes|"76046600"|"124220438"
"A-1"|No |"76046600"|"124220439"
"A-6"|Yes|"76046569"|"124220382"
"A-7"|No |"76046569"|"124220383"
"A-1"|No |"76046569"|"124220384"
"A-1"|Yes|"76046381"|"124220027"
"A-8"|Yes|"76046591"|"124220423"
"A-2"|Yes|"76046363"|"124219996"
"A-1"|No |"76046363"|"124219995"
"A-7"|Yes|"76046466"|"124220184"
"A-1"|No |"76046466"|"124220185"
"A-1"|Yes|"76046580"|"124220401"
"A-2"|No |"76046580"|"124220402"
"A-2"|Yes|"76046612"|"124220461"
"A-7"|No |"76046612"|"124220462"
"A-6"|Yes|"76046311"|"124219899"
"A-7"|No |"76046311"|"124219900"
"A-6"|Yes|"76046440"|"124220132"
"A-7"|No |"76046440"|"124220133"
"A-2"|No |"76046663"|"124220557"
"A-1"|Yes|"76046663"|"124220558"
"A-1"|Yes|"76046485"|"124220217"
"A-8"|Yes|"76046601"|"124220440"
"A-1"|Yes|"76046559"|"124220365"
"A-4"|Yes|"76046444"|"124220141"
"A-7"|No |"76046444"|"124220142"
"A-6"|Yes|"76046418"|"124220097"
"A-7"|No |"76046418"|"124220098"
"A-1"|Yes|"76046274"|"124219835"
"A-2"|No |"76046274"|"124219836"
"A-6"|Yes|"76046337"|"124219947"
"A-7"|No |"76046337"|"124219948"
"A-4"|No |"76046337"|"124219949"
"A-1"|Yes|"76046527"|"124220299"
"A-2"|No |"76046527"|"124220300"
"A-1"|Yes|"76046366"|"124220001"
"A-2"|No |"76046366"|"124220002"
"A-6"|Yes|"76046407"|"124220074"
"A-7"|No |"76046407"|"124220075"
"A-1"|Yes|"76046285"|"124219857"
"A-2"|No |"76046285"|"124219858"
"A-2"|No |"76046538"|"124220322"
"A-1"|Yes|"76046538"|"124220321"
"A-1"|Yes|"76046590"|"124220422"
"A-2"|No |"76046590"|"124220421"
"A-1"|Yes|"76046486"|"124220218"
"A-1"|Yes|"76046267"|"124219825"
"A-7"|Yes|"76046359"|"124219988"
"A-4"|No |"76046348"|"124219972"
"A-7"|No |"76046348"|"124219971"
"A-6"|Yes|"76046348"|"124219970"
"A-1"|Yes|"76046664"|"124220559"
"A-2"|No |"76046664"|"124220560"
"A-1"|Yes|"76046263"|"124219819"
"A-2"|No |"76046400"|"124220065"
"A-1"|Yes|"76046400"|"124220066"
"A-7"|No |"76046496"|"124220235"
"A-2"|Yes|"76046496"|"124220236"
"A-1"|No |"76046496"|"124220237"
"A-1"|Yes|"76046455"|"124220163"
"A-2"|No |"76046455"|"124220164"
"A-1"|No |"76046429"|"124220115"
"A-2"|Yes|"76046429"|"124220116"
"A-2"|Yes|"76046300"|"124219876"
"A-1"|No |"76046300"|"124219877"
"A-7"|No |"76046300"|"124219878"
"A-8"|Yes|"76046326"|"124219925"
"A-1"|Yes|"76046507"|"124220259"
"A-2"|No |"76046507"|"124220260"
"A-1"|Yes|"76046322"|"124219917"
"A-2"|No |"76046322"|"124219918"
"A-2"|No |"76046506"|"124220257"
"A-1"|Yes|"76046506"|"124220258"
"A-7"|Yes|"76046392"|"124220049"
"A-2"|No |"76046392"|"124220050"
"A-1"|Yes|"76046579"|"124220399"
"A-2"|No |"76046579"|"124220400"
"A-2"|No |"76046611"|"124220459"
"A-7"|Yes|"76046611"|"124220460"
"A-8"|Yes|"76046653"|"124220539"
"A-7"|Yes|"76046495"|"124220233"
"A-1"|No |"76046495"|"124220234"
"A-1"|Yes|"76046403"|"124220069"
"A-7"|Yes|"76046374"|"124220017"
"A-2"|No |"76046374"|"124220018"
"A-8"|Yes|"76046289"|"124219862"
"A-6"|Yes|"76046362"|"124219993"
"A-7"|No |"76046362"|"124219994"
"A-1"|Yes|"76046581"|"124220403"
"A-2"|No |"76046581"|"124220404"
"A-7"|No |"76046414"|"124220087"
"A-2"|Yes|"76046414"|"124220088"
"A-1"|No |"76046414"|"124220089"
"A-7"|Yes|"76046389"|"124220041"
"A-1"|No |"76046389"|"124220042"
"A-1"|No |"76046447"|"124220146"
"A-7"|Yes|"76046447"|"124220145"
"A-2"|No |"76046633"|"124220500"
"A-7"|Yes|"76046633"|"124220501"
"A-8"|Yes|"76046609"|"124220457"
"A-1"|Yes|"76046436"|"124220128"
