"not used"|"25473495"|"20149275"
"not used"|"25473496"|"20149274"
"isotic"|"25473499"|"20149276"
"isotic"|"25473501"|"20149277"
"mixed"|"25473508"|"20149271"
"isotic"|"25473509"|"20149270"
"isotic"|"25473506"|"20149269"
"isotic"|"25473510"|"20149272"
"isotic"|"25473511"|"20149279"
"isotic"|"25473514"|"20149281"
"mixed"|"25473513"|"20149280"
"isotic"|"25473512"|"20149278"
"mixed"|"25473520"|"20149284"
"isotic"|"25473517"|"20149285"
"isotic"|"25473516"|"20149283"
"isotic"|"25473519"|"20149282"
"isotic"|"25473521"|"20149287"
"isotic"|"25473524"|"20149286"
"isotic"|"25473525"|"20149289"
"mixed"|"25473522"|"20149288"
"isotic"|"25473529"|"20149290"
"isotic"|"25473527"|"20149291"
"isotic"|"25473530"|"20149293"
"mixed"|"25473526"|"20149292"
"isotic"|"25473533"|"20149294"
"mixed"|"25473531"|"20149296"
"isotic"|"25473535"|"20149295"
"isotic"|"25473532"|"20149297"
"isotic"|"25473540"|"20149299"
"isotic"|"25473537"|"20149301"
"mixed"|"25473539"|"20149300"
"isotic"|"25473536"|"20149298"
"isotic"|"25473543"|"20149302"
"isotic"|"25473541"|"20149305"
"isotic"|"25473545"|"20149303"
"mixed"|"25473542"|"20149304"
"isotic"|"25473547"|"20149309"
"isotic"|"25473550"|"20149307"
"isotic"|"25473546"|"20149306"
"mixed"|"25473548"|"20149308"
"mixed"|"25473553"|"20149311"
"isotic"|"25473552"|"20149310"
"isotic"|"25473555"|"20149312"
"mixed"|"25473556"|"20149313"
"mixed"|"25473559"|"20149316"
"isotic"|"25473563"|"20149314"
"isotic"|"25473562"|"20149317"
"isotic"|"25473561"|"20149315"
"isotic"|"25473566"|"20149318"
"mixed"|"25473564"|"20149319"
"isotic"|"25473565"|"20149273"
"isotic"|"25473570"|"20149320"
"mixed"|"25473571"|"20149322"
"isotic"|"25473568"|"20149321"
"mixed"|"25473572"|"20149325"
"isotic"|"25473574"|"20149323"
"isotic"|"25473575"|"20149324"
"isotic"|"25473579"|"20149327"
"mixed"|"25473576"|"20149328"
"isotic"|"25473577"|"20149326"
"isotic"|"25473583"|"20149330"
"mixed"|"25473580"|"20149331"
"isotic"|"25473581"|"20149329"
