45|55|90|50|66|100|"Wet"|"266314462"|"169468639"
0|0|15|50|79|100|"Wet"|"266314876"|"169468778"
0|0|15|50|79|100|"Wet"|"266314678"|"169468711"
0|0|15|50|79|100|"Wet"|"266314764"|"169468740"
0|0|15|50|79|100|"Wet"|"266314655"|"169468703"
0|0|15|50|79|100|"Wet"|"266314533"|"169468662"
45|65|90|50|89|100|"Wet"|"266315184"|"169468880"
45|65|90|50|89|100|"Wet"|"266315158"|"169468870"
0|0|15|50|79|100|"Wet"|"266314984"|"169468808"
45|65|90|50|89|100|"Wet"|"266314668"|"169468709"
0|0|15|50|79|100|"Wet"|"266315080"|"169468841"
0|0|15|50|79|100|"Wet"|"266314720"|"169468727"
0|0|0|200|200|200|"Wet"|"266314509"|"169468653"
40|45|60|200|200|200|"Wet"|"266315047"|"169468831"
45|65|90|50|89|100|"Wet"|"266314944"|"169468796"
0|0|15|50|79|100|"Wet"|"266314541"|"169468667"
0|0|15|50|79|100|"Wet"|"266314679"|"169468712"
45|65|90|50|89|100|"Wet"|"266314666"|"169468708"
0|0|15|50|79|100|"Wet"|"266315169"|"169468872"
0|0|15|50|79|100|"Wet"|"266314596"|"169468683"
40|45|60|200|200|200|"Wet"|"266314701"|"169468719"
45|65|90|50|89|100|"Wet"|"266314966"|"169468801"
0|0|0|200|200|200|"Wet"|"266314440"|"169468620"
40|45|60|200|200|200|"Wet"|"266314627"|"169468696"
45|65|90|50|89|100|"Wet"|"266314846"|"169468765"
0|0|15|50|79|100|"Wet"|"266314929"|"169468788"
0|0|15|50|79|100|"Wet"|"266314677"|"169468710"
0|0|15|50|79|100|"Wet"|"266315073"|"169468836"
0|0|15|50|79|100|"Wet"|"266315128"|"169468859"
0|0|15|50|79|100|"Wet"|"266314836"|"169468761"
0|0|15|50|79|100|"Wet"|"266315025"|"169468821"
0|0|15|50|79|100|"Wet"|"266315147"|"169468865"
40|45|60|200|200|200|"Wet"|"266314709"|"169468721"
0|0|15|50|79|100|"Wet"|"266314870"|"169468774"
0|0|0|200|200|200|"Wet"|"266314513"|"169468657"
