"Fine sandy loam"||"153961873"|"156592852"
"Sandy loam"||"153962054"|"156592972"
"Sandy loam"||"153962080"|"156592612"
"Loamy sand"||"153961779"|"156592850"
"Sandy loam"||"153961988"|"156593300"
"Loam"||"153961884"|"156592455"
"Coarse sandy loam"||"153962518"|"156592825"
"Silt loam"||"153962405"|"156592536"
"Silt loam"||"153962592"|"156593038"
"Sandy loam"||"153962655"|"156593150"
"Sandy loam"||"153962260"|"156592631"
"Loam"||"153962381"|"156592399"
|"Slightly decomposed plant material"|"153962150"|"156592996"
"Clay loam"||"153961895"|"156592861"
"Silty clay loam"||"153962165"|"156593006"
"Coarse sandy loam"||"153961980"|"156593185"
"Silty clay"||"153962102"|"156593102"
"Clay loam"||"153962223"|"156592636"
"Coarse sandy loam"||"153961769"|"156592575"
"Loam"||"153962666"|"156593040"
"Loam"||"153962540"|"156593020"
"Silt loam"||"153962479"|"156592889"
"Fine sandy loam"||"153961780"|"156592449"
"Loam"||"153962698"|"156592945"
"Sand"||"153961748"|"156592616"
|"Gravel"|"153961748"|"156592617"
"Coarse sand"||"153962017"|"156593299"
|"Bedrock"|"153962613"|"156593255"
"Silty clay loam"||"153962212"|"156592639"
"Silt loam"||"153962113"|"156593106"
"Coarse sand"||"153961811"|"156592571"
"Coarse sandy loam"||"153961885"|"156592585"
"Loam"||"153962394"|"156592404"
"Loam"||"153961906"|"156592462"
"Sandy loam"||"153962139"|"156593330"
"Sandy loam"||"153962551"|"156593014"
"Coarse sandy loam"||"153962444"|"156592409"
"Silt loam"||"153961962"|"156592745"
"Clay loam"||"153962175"|"156593232"
"Clay loam"||"153961969"|"156592472"
"Sandy loam"||"153962603"|"156593027"
"Silty clay loam"||"153962297"|"156592376"
"Sandy loam"||"153962538"|"156593018"
"Silt loam"||"153962091"|"156593094"
"Clay loam"||"153961894"|"156592860"
"Silty clay"||"153962413"|"156592411"
"Loam"||"153962006"|"156593075"
"Silty clay loam"||"153962228"|"156592633"
"Sandy loam"||"153961790"|"156592720"
"Sandy loam"||"153962529"|"156592897"
"Loamy sand"||"153961951"|"156592737"
"Coarse sandy loam"||"153962254"|"156592361"
"Coarse sandy loam"||"153962527"|"156592901"
"Sand"||"153961738"|"156592882"
"Loam"||"153962426"|"156592546"
"Coarse sandy loam"||"153961789"|"156592447"
"Coarse sandy loam"||"153962201"|"156593226"
"Loam"||"153961973"|"156593177"
"Sandy loam"||"153962499"|"156592562"
"Sandy loam"||"153962718"|"156593054"
"Silt loam"||"153962457"|"156592690"
"Silt loam"||"153962213"|"156592368"
"Loamy sand"||"153961812"|"156592438"
"Clay loam"||"153962043"|"156593202"
"Fine sandy loam"||"153962250"|"156592492"
|"Muck"|"153961800"|"156592876"
"Silty clay loam"||"153961936"|"156593179"
"Clay loam"||"153961905"|"156592732"
"Loam"||"153962602"|"156593137"
"Sandy loam"||"153962301"|"156592780"
"Clay loam"||"153962697"|"156593290"
"Loamy sand"||"153962238"|"156592356"
"Clay loam"||"153962422"|"156592413"
"Sandy loam"||"153962676"|"156593153"
"Silt loam"||"153961916"|"156592866"
"Loam"||"153961832"|"156592699"
"Sandy loam"||"153962520"|"156592619"
"Loam"||"153962507"|"156592418"
"Silt loam"||"153962032"|"156593310"
"Sandy loam"||"153962249"|"156592629"
"Coarse sand"||"153962468"|"156592677"
"Clay loam"||"153962687"|"156593064"
"Coarse sand"||"153962275"|"156592352"
"Loam"||"153962573"|"156593023"
"Loamy sand"||"153962135"|"156593098"
"Silty clay"||"153962180"|"156593346"
"Coarse sandy loam"||"153962531"|"156593242"
"Coarse sandy loam"||"153962675"|"156592927"
"Coarse sandy loam"||"153962739"|"156593057"
"Loam"||"153962433"|"156592540"
"Coarse sandy loam"||"153962312"|"156592509"
"Loamy sand"||"153961926"|"156592741"
"Fine sandy loam"||"153962338"|"156592660"
"Coarse sand"||"153962154"|"156593339"
"Silty clay"||"153962227"|"156592497"
"Loamy sand"||"153961984"|"156592957"
"Clay loam"||"153962098"|"156593332"
"Loam"||"153962686"|"156592948"
"Silt loam"||"153962455"|"156592821"
"Clay loam"||"153962364"|"156592664"
|"Slightly decomposed plant material"|"153961995"|"156593079"
"Silty clay loam"||"153962087"|"156592978"
"Sandy loam"||"153962665"|"156592926"
"Loam"||"153962264"|"156592495"
"Sandy loam"||"153962191"|"156593341"
"Coarse sandy loam"||"153962446"|"156592542"
"Loam"||"153962549"|"156593124"
"Loamy sand"||"153961874"|"156592853"
"Fine sandy loam"||"153962677"|"156592928"
"Loam"||"153962562"|"156593249"
"Sandy loam"||"153962202"|"156592999"
"Loam"||"153962106"|"156592987"
"Coarse sand"||"153961863"|"156592729"
"Coarse sandy loam"||"153962265"|"156592630"
"Coarse sand"||"153962239"|"156592626"
"Sandy loam"||"153962190"|"156593000"
"Sandy loam"||"153962496"|"156592702"
"Sandy loam"||"153962374"|"156592400"
"Loam"||"153962593"|"156592918"
"Coarse sand"||"153962124"|"156593327"
"Sandy loam"||"153962069"|"156593200"
|"Muck"|"153961801"|"156592877"
"Clay loam"||"153961822"|"156592610"
"Sandy loam"||"153962708"|"156593278"
"Loam"||"153961968"|"156592874"
"Sandy loam"||"153962385"|"156592801"
"Loam"||"153962484"|"156592891"
"Loam"||"153962443"|"156592680"
"Loam"||"153962558"|"156592906"
"Loamy sand"||"153961752"|"156592844"
"Clay loam"||"153962302"|"156592512"
"Silty clay loam"||"153962083"|"156593325"
"Coarse sand"||"153961744"|"156592481"
"Silt loam"||"153961855"|"156592694"
"Loam"||"153962690"|"156593176"
"Sandy loam"||"153962591"|"156593037"
"Coarse sand"||"153962074"|"156593081"
"Clay loam"||"153962569"|"156593132"
"Loam"||"153962720"|"156592939"
"Loamy sand"||"153962062"|"156593087"
"Loam"||"153962609"|"156593139"
"Sandy loam"||"153962021"|"156593182"
"Sandy loam"||"153962716"|"156593052"
"Clay loam"||"153962010"|"156593192"
|"Bedrock"|"153962557"|"156593127"
"Sandy loam"||"153962406"|"156592525"
"Silt loam"||"153962169"|"156592489"
"Coarse sand"||"153961947"|"156592598"
"Sandy loam"||"153962315"|"156592643"
"Silt loam"||"153962166"|"156592624"
"Silt loam"||"153961958"|"156592744"
"Silt loam"||"153962084"|"156593324"
"Sandy loam"||"153962672"|"156593046"
|"Moderately decomposed plant material"|"153962543"|"156593237"
"Loamy sand"||"153961877"|"156592587"
"Loam"||"153962580"|"156593262"
"Sandy loam"||"153962158"|"156592351"
"Silt loam"||"153961914"|"156592864"
"Sandy loam"||"153962547"|"156592894"
"Loam"||"153961829"|"156592424"
"Silt loam"||"153962177"|"156593116"
"Clay loam"||"153962395"|"156592533"
"Silty clay loam"||"153962208"|"156592502"
"Silty clay"||"153962568"|"156593248"
"Fine sandy loam"||"153962510"|"156592552"
"Loamy sand"||"153962521"|"156593007"
"Loam"||"153962620"|"156592911"
"Clay loam"||"153962291"|"156592650"
