"w"|"76046385"|"32900141"
"g"|"76046569"|"32900016"
"w"|"76046381"|"32900057"
"i"|"76046591"|"32899948"
"d"|"76046580"|"32900090"
"d"|"76046612"|"32900100"
"g"|"76046311"|"32899835"
"g"|"76046440"|"32900068"
"w"|"76046663"|"32899887"
"e"|"76046601"|"32900097"
"g"|"76046418"|"32899989"
"d"|"76046274"|"32900123"
"w"|"76046337"|"32900130"
"g"|"76046527"|"32900081"
"w"|"76046366"|"32900137"
"g"|"76046407"|"32899840"
"d"|"76046285"|"32899972"
"d"|"76046538"|"32900006"
"g"|"76046590"|"32900018"
"w"|"76046348"|"32900050"
"w"|"76046664"|"32900027"
"w"|"76046400"|"32899986"
"g"|"76046496"|"32900003"
"d"|"76046455"|"32899994"
"g"|"76046300"|"32899966"
"e"|"76046326"|"32899900"
"d"|"76046322"|"32900126"
"w"|"76046506"|"32899930"
"d"|"76046392"|"32899837"
"w"|"76046579"|"32900089"
"d"|"76046611"|"32900099"
"e"|"76046653"|"32899890"
"d"|"76046374"|"32899979"
"a"|"76046289"|"32900115"
"g"|"76046362"|"32900135"
"w"|"76046581"|"32900091"
"g"|"76046414"|"32899917"
"d"|"76046633"|"32900026"
"e"|"76046609"|"32899881"
"d"|"76046655"|"32900108"
"i"|"76046315"|"32900040"
"p"|"76046557"|"32900088"
"g"|"76046367"|"32899904"
"w"|"76046526"|"32899937"
"w"|"76046642"|"32900104"
"w"|"76046528"|"32899938"
"w"|"76046487"|"32899909"
"i"|"76046388"|"32899839"
"g"|"76046568"|"32900015"
"d"|"76046539"|"32899942"
"e"|"76046631"|"32900105"
"w"|"76046620"|"32900021"
"d"|"76046304"|"32899969"
"i"|"76046377"|"32900136"
"d"|"76046548"|"32900084"
"g"|"76046399"|"32899987"
"e"|"76046515"|"32900004"
"w"|"76046589"|"32900017"
"d"|"76046451"|"32899921"
"w"|"76046462"|"32899928"
"d"|"76046341"|"32899902"
"g"|"76046330"|"32900044"
"g"|"76046373"|"32900053"
"g"|"76046415"|"32899843"
"g"|"76046550"|"32900086"
"d"|"76046430"|"32900062"
"d"|"76046604"|"32899875"
"i"|"76046356"|"32899903"
"i"|"76046546"|"32900012"
"e"|"76046660"|"32899961"
"a"|"76046290"|"32899891"
"d"|"76046321"|"32899898"
"g"|"76046406"|"32899913"
"i"|"76046530"|"32900008"
"g"|"76046582"|"32899946"
"d"|"76046397"|"32899836"
"w"|"76046671"|"32899963"
"g"|"76046303"|"32899892"
"e"|"76046493"|"32899859"
"d"|"76046332"|"32900042"
"w"|"76046504"|"32899929"
"g"|"76046419"|"32899844"
"w"|"76046384"|"32900140"
"d"|"76046535"|"32899939"
"w"|"76046556"|"32899945"
"d"|"76046498"|"32900001"
"g"|"76046345"|"32899977"
"d"|"76046279"|"32899971"
"d"|"76046645"|"32900025"
"d"|"76046301"|"32900030"
"w"|"76046323"|"32899973"
"d"|"76046520"|"32900080"
"w"|"76046439"|"32899908"
"w"|"76046408"|"32899914"
"i"|"76046494"|"32900074"
"g"|"76046567"|"32900014"
"w"|"76046482"|"32899853"
"w"|"76046619"|"32900020"
"w"|"76046458"|"32899992"
"w"|"76046312"|"32899911"
"i"|"76046483"|"32900073"
"g"|"76046519"|"32899936"
"e"|"76046545"|"32900011"
"g"|"76046334"|"32900127"
"g"|"76046471"|"32899927"
"g"|"76046541"|"32899943"
"d"|"76046450"|"32899995"
"d"|"76046508"|"32899932"
"w"|"76046325"|"32900124"
"d"|"76046656"|"32900109"
"d"|"76046667"|"32899964"
"g"|"76046449"|"32899922"
"g"|"76046333"|"32899899"
"d"|"76046302"|"32900031"
"g"|"76046460"|"32899999"
"g"|"76046448"|"32899848"
"g"|"76046376"|"32900054"
"d"|"76046534"|"32900083"
"g"|"76046505"|"32899857"
"w"|"76046344"|"32899901"
"g"|"76046497"|"32899931"
"w"|"76046281"|"32899897"
"d"|"76046479"|"32900070"
"d"|"76046470"|"32900072"
"i"|"76046516"|"32900005"
"i"|"76046291"|"32900036"
"d"|"76046469"|"32900071"
"w"|"76046641"|"32900103"
"w"|"76046512"|"32899933"
"d"|"76046396"|"32899985"
"d"|"76046271"|"32899896"
"d"|"76046365"|"32899978"
"w"|"76046428"|"32899833"
"d"|"76046417"|"32899842"
"i"|"76046615"|"32899877"
"w"|"76046490"|"32900077"
"d"|"76046623"|"32899955"
"w"|"76046354"|"32900056"
"w"|"76046549"|"32900085"
"d"|"76046364"|"32900138"
"d"|"76046375"|"32900051"
"d"|"76046634"|"32899885"
"e"|"76046355"|"32899976"
"g"|"76046343"|"32899975"
"g"|"76046459"|"32899998"
"g"|"76046282"|"32900038"
"w"|"76046405"|"32900058"
"w"|"76046575"|"32900034"
"g"|"76046372"|"32900052"
"w"|"76046480"|"32899852"
"g"|"76046533"|"32899940"
"e"|"76046638"|"32899882"
"i"|"76046350"|"32900045"
"w"|"76046442"|"32899923"
"w"|"76046649"|"32899884"
"g"|"76046394"|"32900060"
"g"|"76046543"|"32900010"
"w"|"76046309"|"32900117"
"i"|"76046637"|"32899957"
"g"|"76046522"|"32899863"
"d"|"76046431"|"32900065"
"d"|"76046361"|"32900132"
"i"|"76046659"|"32900107"
"g"|"76046383"|"32899981"
"d"|"76046626"|"32899878"
"i"|"76046564"|"32899873"
"d"|"76046280"|"32900039"
"d"|"76046585"|"32900019"
"g"|"76046335"|"32900128"
"w"|"76046627"|"32899954"
"g"|"76046542"|"32900009"
"e"|"76046387"|"32900061"
"e"|"76046287"|"32900113"
"g"|"76046658"|"32900111"
"d"|"76046565"|"32899872"
"g"|"76046468"|"32899854"
"g"|"76046606"|"32899876"
"w"|"76046313"|"32899983"
"g"|"76046324"|"32900125"
"g"|"76046554"|"32899944"
"g"|"76046276"|"32900122"
"w"|"76046398"|"32899984"
"d"|"76046416"|"32899916"
"g"|"76046346"|"32900048"
"g"|"76046553"|"32899869"
"d"|"76046648"|"32899958"
"g"|"76046532"|"32899865"
"e"|"76046616"|"32899952"
"w"|"76046669"|"32900028"
"g"|"76046299"|"32900032"
"d"|"76046273"|"32900120"
"i"|"76046424"|"32899915"
"i"|"76046472"|"32899924"
"e"|"76046563"|"32899947"
"g"|"76046500"|"32899858"
"g"|"76046629"|"32899960"
"w"|"76046576"|"32900035"
"g"|"76046607"|"32899880"
"w"|"76046461"|"32899855"
"i"|"76046435"|"32899846"
"g"|"76046357"|"32900133"
"g"|"76046310"|"32899910"
"w"|"76046596"|"32900095"
"d"|"76046670"|"32900029"
"g"|"76046420"|"32899918"
"w"|"76046342"|"32900046"
"g"|"76046457"|"32899993"
"d"|"76046331"|"32900041"
"i"|"76046572"|"32899967"
"w"|"76046618"|"32899953"
"w"|"76046594"|"32900093"
"d"|"76046305"|"32900119"
"w"|"76046491"|"32899860"
"d"|"76046524"|"32899864"
"d"|"76046511"|"32900079"
"g"|"76046489"|"32900076"
"w"|"76046283"|"32900037"
"g"|"76046657"|"32900110"
"d"|"76046502"|"32899856"
"g"|"76046513"|"32900078"
"i"|"76046446"|"32900067"
"g"|"76046605"|"32899951"
"w"|"76046409"|"32899988"
"d"|"76046478"|"32899925"
"g"|"76046467"|"32899926"
"w"|"76046295"|"32899895"
"w"|"76046368"|"32900139"
"d"|"76046583"|"32899871"
"w"|"76046443"|"32899851"
"d"|"76046540"|"32899868"
"i"|"76046327"|"32899974"
"w"|"76046277"|"32900121"
"g"|"76046441"|"32899850"
"w"|"76046514"|"32899934"
"w"|"76046662"|"32899962"
"d"|"76046454"|"32899847"
"w"|"76046625"|"32900022"
"e"|"76046592"|"32900092"
"d"|"76046393"|"32899912"
"g"|"76046488"|"32900075"
"d"|"76046551"|"32900087"
"w"|"76046456"|"32899920"
"g"|"76046613"|"32900101"
"g"|"76046452"|"32899849"
"g"|"76046614"|"32899956"
"d"|"76046603"|"32899950"
"g"|"76046358"|"32900134"
"g"|"76046382"|"32899906"
"w"|"76046577"|"32899968"
"d"|"76046340"|"32900047"
"w"|"76046319"|"32900055"
"g"|"76046650"|"32900024"
"i"|"76046465"|"32899997"
"g"|"76046651"|"32899889"
"g"|"76046672"|"32899888"
"w"|"76046432"|"32899841"
"g"|"76046308"|"32900118"
"e"|"76046529"|"32900007"
"w"|"76046434"|"32900063"
"e"|"76046445"|"32900066"
"e"|"76046288"|"32900114"
"w"|"76046275"|"32899970"
"w"|"76046336"|"32900129"
"w"|"76046555"|"32899870"
"e"|"76046369"|"32899905"
"w"|"76046640"|"32900102"
"w"|"76046421"|"32899845"
"d"|"76046588"|"32899949"
"w"|"76046476"|"32899834"
"d"|"76046566"|"32900013"
"g"|"76046635"|"32899959"
"d"|"76046360"|"32900131"
"w"|"76046347"|"32900049"
"w"|"76046587"|"32899874"
"e"|"76046286"|"32900112"
"e"|"76046411"|"32899990"
"g"|"76046518"|"32899862"
"w"|"76046307"|"32899894"
"i"|"76046401"|"32899907"
"w"|"76046595"|"32900094"
"g"|"76046390"|"32899838"
"e"|"76046573"|"32900033"
"g"|"76046481"|"32900069"
"d"|"76046510"|"32899861"
"i"|"76046632"|"32900106"
"i"|"76046297"|"32900116"
"d"|"76046521"|"32899935"
"w"|"76046547"|"32899867"
"i"|"76046654"|"32899965"
"i"|"76046610"|"32900023"
"g"|"76046391"|"32900059"
"e"|"76046296"|"32899893"
"d"|"76046499"|"32900002"
"g"|"76046636"|"32899886"
"i"|"76046370"|"32899980"
"i"|"76046602"|"32900098"
"g"|"76046329"|"32900043"
"d"|"76046503"|"32900000"
"w"|"76046647"|"32899883"
"g"|"76046536"|"32899866"
"i"|"76046412"|"32899991"
"e"|"76046464"|"32899996"
"g"|"76046433"|"32900064"
"w"|"76046558"|"32899982"
"g"|"76046628"|"32899879"
"i"|"76046562"|"32899941"
"g"|"76046599"|"32900096"
"w"|"76046422"|"32899919"
"d"|"76046525"|"32900082"
